"id","time_created","time_updated","note","entered_by","audit_exception_id"
"c6866b7e-ac21-11ea-87b3-005056bb008d","2020-06-11 20:26:05.281801","2020-06-11 20:26:05.281802","Dont know where it is","998","fcfc0e28-a6dd-11ea-89f2-005056bb008d"
"bf47394e-af26-11ea-a642-005056bb008d","2020-06-15 16:39:14.095593","2020-06-15 16:39:14.095594","Unit was delivered","998","fcfc0f40-a6dd-11ea-89f3-005056bb008d"
"1606f2ac-aff3-11ea-bc08-005056bb008d","2020-06-16 17:01:56.968949","2020-06-16 17:01:56.96895","Unit was delivered","998","fcfc1012-a6dd-11ea-89f4-005056bb008d"
