id,time_created,time_updated,company_id,source_id,type_id,reverse_indicator,message,begin_date,end_date,last_transfer_date,deleted
6573da74-05da-11ec-8a9b-005056bb008a,2021-08-25 19:26:50.474367,2021-08-25 19:26:50.474367,15c8bdba-05d9-11ec-a4c4-005056bb008a,04cf4c08-05da-11ec-aff1-005056bb008a,2,false,RECORD MONTHLY DEPRECIATION EXPENSE,2020-01-01,2020-12-31,2020-02-29,false
6573ed02-05da-11ec-8a9c-005056bb008a,2021-08-25 19:26:50.474833,2021-08-25 19:26:50.474833,15c8bdba-05d9-11ec-a4c4-005056bb008a,04cf4c08-05da-11ec-aff1-005056bb008a,2,false,EXPENSE E-DREAMZ,2019-04-30,2022-12-31,2020-02-29,false
6573ed98-05da-11ec-8a9d-005056bb008a,2021-08-25 19:26:50.474846,2021-08-25 19:26:50.474846,15c8bdba-05d9-11ec-a4c4-005056bb008a,04cf4c08-05da-11ec-aff1-005056bb008a,2,false,EXPENSE GOODWILL AMORTIZATION,2019-04-30,2033-07-31,2020-02-29,false
6573edf2-05da-11ec-8a9e-005056bb008a,2021-08-25 19:26:50.474855,2021-08-25 19:26:50.474855,15c8bdba-05d9-11ec-a4c4-005056bb008a,04cf4c08-05da-11ec-aff1-005056bb008a,2,false,ADJUST PROPERTY TAX ACCRUAL TO AMOUNTS PAID,2020-01-01,2020-12-31,2020-02-29,false
6573ee4c-05da-11ec-8a9f-005056bb008a,2021-08-25 19:26:50.474864,2021-08-25 19:26:50.474864,15c8bdba-05d9-11ec-a4c4-005056bb008a,04cf4c08-05da-11ec-aff1-005056bb008a,2,false,EXPENSE SALESFORCE.COM,2019-11-30,,2020-02-29,false
