"id","location_type_code","descr","created_at","updated_at","row_creator_id","ht_etl_schema"
"1","8",,"2021-08-26 04:17:06.867881","2021-08-26 04:17:06.867881",,"public"
"2","6",,"2021-08-26 04:17:06.867881","2021-08-26 04:17:06.867881",,"public"
"3","3",,"2021-08-26 04:17:06.867881","2021-08-26 04:17:06.867881",,"public"
"4","1",,"2021-08-26 04:17:06.867881","2021-08-26 04:17:06.867881",,"public"
"5","4",,"2021-08-26 04:17:06.867881","2021-08-26 04:17:06.867881",,"public"
"6","7",,"2021-08-26 04:17:06.867881","2021-08-26 04:17:06.867881",,"public"
"7","5",,"2021-08-26 04:17:06.867881","2021-08-26 04:17:06.867881",,"public"
