"id","location_type_code","descr","created_at","updated_at","row_creator_id","ht_etl_schema"
"1","1",,"2021-08-26 04:09:09.433014","2021-08-26 04:09:09.433014",,"public"
"2","3",,"2021-08-26 04:09:09.433014","2021-08-26 04:09:09.433014",,"public"
"3","5",,"2021-08-26 04:09:09.433014","2021-08-26 04:09:09.433014",,"public"
"4","6",,"2021-08-26 04:09:09.433014","2021-08-26 04:09:09.433014",,"public"
"5","7",,"2021-08-26 04:09:09.433014","2021-08-26 04:09:09.433014",,"public"
"6","8",,"2021-08-26 04:09:09.433014","2021-08-26 04:09:09.433014",,"public"
"7","4",,"2021-08-26 04:09:09.433014","2021-08-26 04:09:09.433014",,"public"
